#,IP Address,MAC Address,Vendor,Tag,Status
1,192.168.0.3,40:ae:30:6c:e8:76,Error,N/A,Unchanged
2,192.168.0.1,20:23:51:0e:d9:c8,Error,N/A,Unchanged
3,192.168.0.9,00:d8:61:c8:e2:87,"Micro-Star INTL CO., LTD.",N/A,Unchanged
4,192.168.0.26,70:85:c2:fc:2a:63,ASRock Incorporation,N/A,Unchanged
5,192.168.0.27,e8:ff:1e:d2:c1:6b,Error,N/A,Unchanged
6,192.168.0.48,a8:a1:59:02:30:be,ASRock Incorporation,N/A,Unchanged
7,192.168.0.38,00:1f:54:61:99:f1,Lorex Technology Inc.,N/A,Unchanged
8,192.168.0.39,00:1f:54:61:ac:0d,Lorex Technology Inc.,N/A,Unchanged
9,192.168.0.41,00:1f:54:68:4c:4d,Lorex Technology Inc.,N/A,Unchanged
10,192.168.0.40,00:1f:54:61:90:20,Lorex Technology Inc.,N/A,Unchanged
11,192.168.0.31,00:1f:54:48:d5:77,Lorex Technology Inc.,N/A,New
12,192.168.0.33,00:1f:54:48:d5:45,Lorex Technology Inc.,N/A,Unchanged
13,192.168.0.34,00:1f:54:48:d5:74,Lorex Technology Inc.,N/A,New
14,192.168.0.32,00:1f:54:48:d2:de,Lorex Technology Inc.,N/A,Unchanged
15,192.168.0.108,00:1f:54:52:c2:d1,Lorex Technology Inc.,N/A,Unchanged
16,192.168.0.122,e8:ff:1e:d8:fc:b1,Error,N/A,Unchanged
17,192.168.0.135,dc:a6:32:38:49:2a,Raspberry Pi Trading Ltd,N/A,Unchanged
18,192.168.0.149,00:1f:54:61:95:81,Lorex Technology Inc.,N/A,Unchanged
19,192.168.0.100,98:25:4a:fa:52:fa,Error,N/A,Unchanged
20,192.168.0.35,00:1f:54:61:a9:82,Lorex Technology Inc.,N/A,Unchanged
21,192.168.0.194,00:1f:54:52:c2:e1,Lorex Technology Inc.,N/A,Unchanged
22,192.168.0.193,00:1f:54:61:96:64,Lorex Technology Inc.,N/A,Unchanged
23,192.168.0.196,00:1f:54:61:95:8b,Lorex Technology Inc.,N/A,Unchanged
24,192.168.0.195,00:1f:54:61:b0:e3,Lorex Technology Inc.,N/A,Unchanged
25,192.168.0.197,00:1f:54:61:ab:cd,Lorex Technology Inc.,N/A,Unchanged
26,192.168.0.253,40:ae:30:de:37:c4,Error,N/A,Unchanged
27,192.168.0.12,b6:01:c5:aa:f8:5b,Error,N/A,Unchanged
28,192.168.0.249,40:ae:30:de:2e:08,Error,N/A,Unchanged
29,192.168.0.250,60:32:b1:b1:59:04,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,Unchanged
30,192.168.0.54,00:1f:54:6c:9d:01,Lorex Technology Inc.,N/A,New
31,192.168.0.56,00:1f:54:6c:9c:d7,Lorex Technology Inc.,N/A,New
32,192.168.0.58,00:1f:54:6c:9c:b0,Lorex Technology Inc.,N/A,New
33,192.168.0.198,bc:d7:d4:f6:ae:dc,"Roku, Inc",N/A,Unchanged
34,192.168.0.11,26:93:6d:59:65:bf,Error,N/A,Unchanged
35,192.168.0.51,6c:5a:b0:1e:a3:0e,TP-Link Corporation Limited,N/A,Unchanged
36,192.168.0.50,6c:5a:b0:d8:0f:bc,TP-Link Corporation Limited,N/A,Unchanged
37,192.168.0.64,00:1f:54:6c:9c:c8,Lorex Technology Inc.,N/A,Unchanged
38,192.168.0.86,2c:cf:67:65:85:2c,Error,N/A,Unchanged
39,192.168.0.251,c0:c9:e3:50:46:c6,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,New
40,192.168.0.128,60:32:b1:f9:28:ba,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,Unchanged
41,192.168.0.111,a8:42:a1:2d:f3:41,Error,N/A,Unchanged
42,192.168.0.252,c0:c9:e3:a2:a9:b6,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,Unchanged
43,192.168.0.123,a8:6d:aa:3e:e8:dd,Intel Corporate,N/A,Unchanged
44,192.168.0.248,84:d8:1b:e9:39:a2,"TP-LINK TECHNOLOGIES CO.,LTD.",N/A,Unchanged
45,192.168.0.49,6c:5a:b0:1e:ab:50,TP-Link Corporation Limited,N/A,Unchanged
46,192.168.0.147,b8:16:5f:73:63:fe,Error,N/A,Unchanged
47,192.168.0.104,24:2f:d0:b3:42:a9,Error,N/A,Unchanged
48,192.168.0.127,40:ae:30:de:3a:b2,Error,N/A,Unchanged
